Big-Hero-6,Robotics prodigy and inflatable robot fight supervillain in futuristic city
Wreck-It-Ralph,Arcade game villain seeks heroism in other games
Frozen,Princess with ice powers learns self-acceptance and sisterly love
Avengers,Superheroes unite to save Earth from alien invasion
Guardians,Misfit aliens become unlikely galaxy defenders
Black-Panther,Wakandan king protects advanced nation and legacy
Mad-Max,Post-apocalyptic warrior battles for survival in wasteland
Us,Doppelgängers terrorize family in psychological horror
Wall-E,Robot love story amid environmental wasteland
Hacksaw-Ridge,WWII medic saves lives without weapons
Her,Man falls for AI assistant in near-future
Shutter-Island,Detective investigates asylum with dark secrets
Revenant,Frontiersman seeks revenge after bear attack
Inside-Out,Emotions navigate girl's mind during life changes
Dune,Noble heir leads desert planet revolt
Argo,CIA extraction disguised as sci-fi film production
Social-Network,Facebook's controversial rise to power
Parasite,Poor family infiltrates wealthy household
Avatar,Disabled marine bonds with alien species
Gladiator,Roman general seeks vengeance as gladiator
Joker,Failed comedian's descent into villainy
Moonlight,Black man's identity journey through three life stages
Lion,Indian adoptee searches for lost family
Inception,Dream-infiltration heist bends reality
Memento,Amnesiac hunts wife's killer using tattoos
Braveheart,Scottish warrior leads rebellion against England
Gravity,Astronauts struggle to survive space disaster
Interstellar,Space exploration to save dying Earth
Arrival,Linguist decodes alien language to prevent war
Logan,Aging Wolverine protects young mutant
Departed,Undercover cop and mob mole play cat-and-mouse
Patriot,Reluctant farmer fights in American Revolution
Glory,Black regiment fights in Civil War
Tenet,Time-inverting agents prevent global catastrophe
Up,Elderly widower's balloon house adventure
Shawshank-Redemption,Wrongly convicted man's prison journey and escape
Ratatouille,Rat becomes top Parisian chef
Toy-Story,Toys come alive when humans aren't looking
Jobs,Apple co-founder's tumultuous rise to tech icon
Steve-Jobs,Apple visionary's life in three product launches
Luca,Sea monster boy's Italian Riviera adventure
Turning-Red,Teen turns into red panda during puberty
Lightyear,Space ranger's origin story from Toy Story
Titanic,Doomed love aboard ill-fated ocean liner
Dunkirk,Allied evacuation from French beaches in WWII
Terminator,Cyborg assassin hunts future resistance leader's mother
Get-Out,Black man uncovers sinister plot at girlfriend's home
Nope,Siblings investigate mysterious sky phenomenon
Whiplash,Ambitious drummer pushed to limits by abusive teacher
Spotlight,Journalists expose widespread church abuse scandal
Matrix,Hacker discovers reality is computer simulation
Tangled,Rapunzel escapes tower for adventure
Brave,Scottish princess defies tradition to change fate
Shrek,Ogre rescues princess in fairy tale parody
Madagascar,Zoo animals stranded on exotic island
Ice-Age,Prehistoric creatures return lost human baby
Crouching-Tiger,Martial arts masters pursue stolen sword
Hidden-Dragon,Martial arts epic of love and honor
Hero,Assassin's tale told in vibrant color schemes
