this party is really fun,this party is phat
that was a great song,that song was dope
I can't believe how much I spent,I totally blew my cash
you look really good today,you look fly today
what's up with your outfit?,what's up with your threads?
that movie was really entertaining,that movie was a total blast
let's go out tonight,let's hit the town tonight
I'm feeling really good,I'm feeling hella good
I really like your energy,I vibe with your energy
he's really charming,he's got mad rizz
that outfit is perfect,that fit is on point
let's hang out later,let's chill later
That outfit is really cool.,That outfit is phat.
He's acting kind of crazy.,He's being a total wacko.
I'm really tired right now.,I'm totally wiped out.
This party is so much fun.,This party is off the hook.
I'm really impressed by your style.,Your style is on point.
Let's go out tonight!,Let's hit the club tonight!
That's a great idea!,That's a sick idea!
She looks really good today.,She looks bangin' today.
You're really charming.,You got mad rizz.
I'm feeling pretty good.,I'm vibing high.
That movie was really entertaining.,That movie was a whole vibe.
I can't believe you did that!,"No cap, I can't believe you did that!"
that party was really fun,that party was phat
she's really cool,she's totally rad
let's hang out later,let's kick it later
I'm feeling good today,I'm feeling fly today
that's really awesome,that's the bomb
I'm having a great time,I'm having a blast
let's go to the mall,let's hit the mall
that outfit looks great,that outfit is on fleek
you really know how to flirt,you got mad rizz
I'm really tired today,I'm dead today
that movie was entertaining,that movie was a vibe
I'm excited for this weekend,I'm hyped for the weekend
everything is going well,everything is chill
this party is really fun,this party is phat
I'm feeling great today,I'm feelin' fly today
that movie was really cool,that movie was da bomb
he's always trying to impress girls,he's always trying to front on the ladies
that outfit looks good,that outfit is on fleek
she's really stylish,she's got mad swag
that song is catchy,that song is fire
let's hang out later,let's chill later
he's really charming,he's got that rizz
that video was hilarious,that video was a whole vibe
I'm feeling a bit overwhelmed,"I'm kind of stressed, no cap"
she's acting a little crazy,she's being wilding out
That's really cool.,That's phat.
I can't believe that happened!,"No way, that's bogus!"
Let's go to the party.,Let's hit up the rave.
I love this song.,This jam is dope.
You're looking great today.,You're looking fly!
Everything is fine.,Everything's all good.
I'm really busy right now.,I'm swamped.
That was a great time.,That was a blast!
I have a lot of energy.,I'm vibing hard.
You really impressed me.,You got mad skills.
I think they're flirting.,They've got major rizz.
Everything is going well.,Everything's on point.
That outfit looks great on you.,That outfit is phat!
I'm really tired of this situation.,I’m so over this!
This party is really fun.,This party is off the hook!
